tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,total_amount,trip_distance,trip_duration
2022-01-01 18:30:48,2022-01-01 18:35:53,4.0,11.0,1.5,5
2022-01-01 18:01:20,2022-01-01 18:05:43,1.0,9.95,0.6,4
2022-01-01 18:20:47,2022-01-01 18:26:37,1.0,12.25,1.3,5
2022-01-01 18:51:49,2022-01-01 18:55:22,1.0,9.96,0.98,3
2022-01-01 18:15:13,2022-01-01 18:18:31,1.0,9.3,0.89,3
2022-01-01 18:27:01,2022-01-01 18:28:30,1.0,7.3,0.6,1
2022-01-01 18:53:15,2022-01-01 18:55:13,1.0,7.3,0.77,1
2022-01-01 19:47:26,2022-01-01 19:52:44,1.0,9.8,1.4,5
2022-01-01 19:08:42,2022-01-01 19:13:02,1.0,9.95,0.9,4
2022-01-01 19:39:51,2022-01-01 19:42:02,1.0,7.8,0.8,2
2022-01-01 19:01:15,2022-01-01 19:02:55,1.0,9.36,0.8,1
2022-01-01 18:59:28,2022-01-01 19:03:15,1.0,7.8,0.63,3
2022-01-01 19:59:24,2022-01-01 20:01:58,2.0,8.3,0.69,2
2022-01-01 19:09:38,2022-01-01 19:13:44,1.0,9.8,0.9,4
2022-01-01 19:51:26,2022-01-01 19:54:17,1.0,8.8,1.17,2
2022-01-01 19:22:34,2022-01-01 19:25:52,1.0,9.36,0.7,3
2022-01-01 19:56:38,2022-01-01 20:03:56,1.0,12.8,1.71,7
2022-01-01 19:49:07,2022-01-01 19:53:03,1.0,8.8,1.12,3
2022-01-01 18:57:46,2022-01-01 18:59:10,1.0,8.0,0.32,1
2022-01-01 19:46:58,2022-01-01 19:54:00,1.0,11.76,1.05,7
2022-01-01 19:43:04,2022-01-01 19:47:41,1.0,11.15,1.4,4
2022-01-01 20:46:36,2022-01-01 20:49:55,1.0,10.12,1.01,3
2022-01-01 20:15:18,2022-01-01 20:17:52,1.0,8.3,1.0,2
2022-01-01 20:20:20,2022-01-01 20:24:29,5.0,12.96,1.82,4
2022-01-01 20:02:27,2022-01-01 20:06:20,1.0,9.68,1.04,3
2022-01-01 20:41:20,2022-01-01 20:46:42,1.0,12.36,1.2,5
2022-01-01 20:26:27,2022-01-01 20:33:58,1.0,14.13,1.76,7
2022-01-01 20:20:57,2022-01-01 20:25:50,1.0,12.3,1.5,4
2022-01-01 21:30:21,2022-01-01 21:34:59,1.0,9.3,0.8,4
