,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,1,2022-01-01 00:35:40,2022-01-01 00:53:29,2.0,3.8,1.0,N,142,236,1,14.5,3.0,0.5,3.65,0.0,0.3,21.95,2.5,0.0
1,1,2022-01-01 00:33:43,2022-01-01 00:42:07,1.0,2.1,1.0,N,236,42,1,8.0,0.5,0.5,4.0,0.0,0.3,13.3,0.0,0.0
2,2,2022-01-01 00:53:21,2022-01-01 01:02:19,1.0,0.97,1.0,N,166,166,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,0.0,0.0
3,2,2022-01-01 00:25:21,2022-01-01 00:35:23,1.0,1.09,1.0,N,114,68,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
4,2,2022-01-01 00:36:48,2022-01-01 01:14:20,1.0,4.3,1.0,N,68,163,1,23.5,0.5,0.5,3.0,0.0,0.3,30.3,2.5,0.0
5,1,2022-01-01 00:40:15,2022-01-01 01:09:48,1.0,10.3,1.0,N,138,161,1,33.0,3.0,0.5,13.0,6.55,0.3,56.35,2.5,0.0
6,2,2022-01-01 00:20:50,2022-01-01 00:34:58,1.0,5.07,1.0,N,233,87,1,17.0,0.5,0.5,5.2,0.0,0.3,26.0,2.5,0.0
7,2,2022-01-01 00:13:04,2022-01-01 00:22:45,1.0,2.02,1.0,N,238,152,2,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5,0.0
8,2,2022-01-01 00:30:02,2022-01-01 00:44:49,1.0,2.71,1.0,N,166,236,1,12.0,0.5,0.5,2.25,0.0,0.3,18.05,2.5,0.0
9,2,2022-01-01 00:48:52,2022-01-01 00:53:28,1.0,0.78,1.0,N,236,141,2,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5,0.0
10,2,2022-01-01 00:55:03,2022-01-01 01:04:25,1.0,1.91,1.0,N,141,229,2,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5,0.0
11,2,2022-01-01 00:31:06,2022-01-01 00:34:14,3.0,0.82,1.0,N,114,90,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5,0.0
12,2,2022-01-01 00:41:07,2022-01-01 00:44:46,3.0,0.73,1.0,N,234,113,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5,0.0
13,2,2022-01-01 00:56:34,2022-01-01 01:12:04,2.0,2.16,1.0,N,246,79,1,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5,0.0
14,2,2022-01-01 00:39:46,2022-01-01 00:47:36,4.0,1.43,1.0,N,43,140,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0
15,2,2022-01-01 00:58:06,2022-01-01 01:05:45,1.0,1.58,1.0,N,239,151,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
16,1,2022-01-01 00:33:52,2022-01-01 00:47:28,3.0,4.2,1.0,N,148,141,1,14.0,2.5,0.5,3.45,0.0,0.3,20.75,2.5,0.0
17,1,2022-01-01 00:53:54,2022-01-01 01:05:20,2.0,2.2,1.0,N,237,107,1,9.5,2.5,0.5,2.55,0.0,0.3,15.35,2.5,0.0
18,1,2022-01-01 00:00:44,2022-01-01 00:05:29,1.0,0.2,1.0,N,7,7,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0,0.0
19,1,2022-01-01 00:35:50,2022-01-01 00:48:33,2.0,3.9,1.0,N,107,263,1,13.0,3.0,0.5,3.35,0.0,0.3,20.15,2.5,0.0
20,1,2022-01-01 00:49:14,2022-01-01 00:58:29,2.0,3.2,1.0,N,263,107,1,11.0,3.0,0.5,2.95,0.0,0.3,17.75,2.5,0.0
21,1,2022-01-01 00:06:10,2022-01-01 00:08:58,1.0,0.0,1.0,N,161,161,4,2.5,3.0,0.5,0.0,0.0,0.3,6.3,2.5,0.0
22,1,2022-01-01 00:09:01,2022-01-01 00:17:15,1.0,1.2,1.0,N,161,43,1,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5,0.0
23,1,2022-01-01 00:30:06,2022-01-01 00:38:11,1.0,1.7,1.0,N,239,24,1,7.0,3.0,0.5,3.25,0.0,0.3,14.05,2.5,0.0
24,1,2022-01-01 00:46:41,2022-01-01 00:57:53,1.0,1.6,1.0,N,239,263,1,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5,0.0
25,2,2022-01-01 00:14:00,2022-01-01 00:35:24,5.0,2.48,1.0,N,246,233,1,14.0,0.5,0.5,5.34,0.0,0.3,23.14,2.5,0.0
26,2,2022-01-01 00:46:09,2022-01-01 01:08:06,6.0,5.95,1.0,N,79,238,1,20.0,0.5,0.5,4.76,0.0,0.3,28.56,2.5,0.0
27,1,2022-01-01 00:52:53,2022-01-01 01:05:26,2.0,4.0,1.0,N,170,238,2,13.0,3.0,0.5,0.0,0.0,0.3,16.8,2.5,0.0
28,2,2022-01-01 18:04:06,2022-01-01 18:40:52,1.0,9.7,1.0,N,138,48,1,34.5,0.5,0.5,9.22,6.55,0.3,55.32,2.5,1.25
29,1,2022-01-01 00:23:54,2022-01-01 00:28:42,2.0,0.8,1.0,N,237,237,4,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5,0.0
30,1,2022-01-01 00:59:06,2022-01-01 01:12:57,2.0,3.8,1.0,Y,233,238,2,13.5,3.0,0.5,0.0,0.0,0.3,17.3,2.5,0.0
31,2,2022-01-01 00:15:37,2022-01-01 00:31:13,2.0,3.07,1.0,N,162,249,1,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5,0.0
32,2,2022-01-01 00:40:18,2022-01-01 01:02:50,3.0,2.79,1.0,N,114,186,1,15.5,0.5,0.5,2.9,0.0,0.3,22.2,2.5,0.0
33,2,2022-01-01 00:17:55,2022-01-01 00:27:45,1.0,4.22,1.0,N,138,92,2,14.0,0.5,0.5,0.0,0.0,0.3,16.55,0.0,1.25
34,2,2022-01-01 00:55:48,2022-01-01 01:14:24,1.0,6.67,1.0,N,138,229,1,21.0,0.5,0.5,15.0,0.0,0.3,41.05,2.5,1.25
35,2,2022-01-01 00:12:00,2022-01-01 00:22:47,1.0,5.18,1.0,N,4,262,1,16.0,0.5,0.5,0.0,0.0,0.3,19.8,2.5,0.0
36,2,2022-01-01 00:26:04,2022-01-01 00:44:54,1.0,5.03,1.0,N,262,249,1,18.5,0.5,0.5,6.69,0.0,0.3,28.99,2.5,0.0
37,2,2022-01-01 00:50:07,2022-01-01 00:55:44,1.0,1.05,1.0,N,249,90,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
38,1,2022-01-01 00:10:27,2022-01-01 00:41:59,1.0,17.1,2.0,N,132,170,1,52.0,3.75,0.5,15.75,6.55,0.3,78.85,2.5,1.25
